serie_id,articulo_id,unidad_id,codigo_serie,tipo_articulo,seguimiento,estado_actual,condicion_actual,operaciones_total,operaciones_90d,incidencias_total,incidencias_90d,mantenimientos_total,mantenimientos_180d,dias_desde_ultimo_mantenimiento,dias_desde_ultima_operacion,dias_desde_ultima_incidencia,ultimo_resultado_inspeccion,dias_desde_ultima_inspeccion,resultado
36,3,3,ESC-UTOP-CB-004,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
35,3,3,ESC-UTOP-CB-003,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
34,3,3,ESC-UTOP-CB-002,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
33,3,3,ESC-UTOP-CB-001,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
32,3,2,ESC-UTOP-LP-004,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
31,3,2,ESC-UTOP-LP-003,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
30,3,2,ESC-UTOP-LP-002,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
29,3,2,ESC-UTOP-LP-001,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
28,3,1,ESC-UTOP-EA-004,reutilizable,serie,inoperativo,inoperativo,2,2,2,2,1,1,16.0,59.0,11.0,inoperativo,6.0,1
27,3,1,ESC-UTOP-EA-003,reutilizable,serie,en_mantenimiento,malo,3,2,2,2,1,1,33.0,18.0,9.0,observado,10.0,0
26,3,1,ESC-UTOP-EA-002,reutilizable,serie,disponible,con_defectos,2,1,1,1,1,1,172.0,61.0,17.0,observado,13.0,0
25,3,1,ESC-UTOP-EA-001,reutilizable,serie,disponible,con_defectos,3,2,1,1,1,1,171.0,15.0,16.0,observado,12.0,0
24,2,3,CAS-UTOP-CB-004,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
23,2,3,CAS-UTOP-CB-003,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
22,2,3,CAS-UTOP-CB-002,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
21,2,3,CAS-UTOP-CB-001,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
20,2,2,CAS-UTOP-LP-004,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
19,2,2,CAS-UTOP-LP-003,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
18,2,2,CAS-UTOP-LP-002,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
17,2,2,CAS-UTOP-LP-001,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
16,2,1,CAS-UTOP-EA-004,reutilizable,serie,disponible,bueno,2,1,0,0,1,1,140.0,63.0,9999.0,apto,23.0,0
15,2,1,CAS-UTOP-EA-003,reutilizable,serie,disponible,bueno,3,2,0,0,1,1,139.0,17.0,9999.0,apto,22.0,0
14,2,1,CAS-UTOP-EA-002,reutilizable,serie,inoperativo,inoperativo,2,1,2,2,1,1,15.0,65.0,11.0,inoperativo,4.0,1
13,2,1,CAS-UTOP-EA-001,reutilizable,serie,en_mantenimiento,malo,3,2,2,2,1,1,37.0,14.0,9.0,observado,8.0,0
12,1,3,CHA-UTOP-CB-004,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
11,1,3,CHA-UTOP-CB-003,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
10,1,3,CHA-UTOP-CB-002,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
9,1,3,CHA-UTOP-CB-001,reutilizable,serie,asignado,bueno,1,1,0,0,0,0,9999.0,22.0,9999.0,sin_inspeccion,9999.0,0
8,1,2,CHA-UTOP-LP-004,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
7,1,2,CHA-UTOP-LP-003,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
6,1,2,CHA-UTOP-LP-002,reutilizable,serie,disponible,bueno,0,0,0,0,0,0,9999.0,9999.0,9999.0,sin_inspeccion,9999.0,0
5,1,2,CHA-UTOP-LP-001,reutilizable,serie,asignado,bueno,1,1,0,0,0,0,9999.0,22.0,9999.0,sin_inspeccion,9999.0,0
4,1,1,CHA-UTOP-EA-004,reutilizable,serie,disponible,con_defectos,4,3,1,1,1,1,171.0,20.0,17.0,observado,15.0,0
3,1,1,CHA-UTOP-EA-003,reutilizable,serie,disponible,con_defectos,3,2,1,1,1,1,170.0,16.0,16.0,observado,14.0,0
2,1,1,CHA-UTOP-EA-002,reutilizable,serie,disponible,bueno,2,1,0,0,1,1,139.0,69.0,9999.0,apto,21.0,0
1,1,1,CHA-UTOP-EA-001,reutilizable,serie,disponible,bueno,4,3,0,0,1,1,138.0,18.0,9999.0,apto,20.0,0
